Topic,Count,Name,Representation,Representative_Docs
9,42,9_remove section_section_headings_sections,"['remove section', 'section', 'headings', 'sections', 'remove entire', 'h3', 'notes', 'code smell', 'smell', 'doesn add']","[""why remove this section? you should provide info, even if it's a one sentence"", ""You don't need to say this. It feels highly extraneous given the subject matter in this topic. Let's remove these sections."", ""As a style preference, I don't care much for headings without at least an introduction sentence, or paragraph. Anytime I see multiple headings back-to-back without context, that's a code smell to me. Let's please add something here to introduce this section.""]"
10,42,10_remove remove_noise_fluff_remove completely,"['remove remove', 'noise', 'fluff', 'remove completely', 'al', 'scrape', 'won help', 'remove just', 'shit', 'don remove']","[""Remove this, it's noise"", 'This kind of information is pure noise.', 'This is just noise/fluff. Remove it.']"
11,40,11_catch_try catch_silently_logging,"['catch', 'try catch', 'silently', 'logging', 'failures code_block', 'exceptions', 'exception', 'permission', 'failures', 'exit code']","['[nitpick] Silently ignoring exceptions makes debugging difficult; consider logging or handling errors to provide visibility into upload failures. [CODE_BLOCK]', 'The exception handling silently ignores PermissionError, which could mask legitimate permission issues. Consider logging the error or providing more specific handling for permission-related failures. [CODE_BLOCK]', 'The exception handling silently ignores PermissionError, which could mask legitimate permission issues when trying to read files. Consider logging the error or providing more specific handling for permission-related failures. [CODE_BLOCK]']"
12,31,12_fixed_outdated_conflict_author,"['fixed', 'outdated', 'conflict', 'author', 'check fix', 'like bug', 'sure correct', 'primary', 'category', 'synopsis']","[""@Copilot, this change isn't related to fixing the issue."", ""You're right - that was accidentally added and unrelated to the accessibility fix. Reverted in commit ${short_hash}."", 'Instead of explaining the resolution, update the synopsis to explain what the problem is in one sentence.']"
13,31,13_doesn right_slop_actually correct_aggressive,"['doesn right', 'slop', 'actually correct', 'aggressive', 'point removed', 'right good', 'imho', 'change point', 'isn quite', 'right change']","['is this bold on purpose? Looks a bit funky IMHO 😅', ""this change doesn't make sense"", ""this isn't quite true and could use more explanation""]"
14,29,14_panic_error instead_peer_return error,"['panic', 'error instead', 'peer', 'return error', 'propagate', 'issue just', 'close issue', 'panics', 'throw', 'investigation']","['do we not want to do deeper investigation like it says in the issue or are we just going to ignore this panic and close the issue entirely?', ""It feels like we're glossing over the underlying problem. The panic was added there for a reason because it asserts assumptions of how the peer manager should behave (i.e. it should not receive duplicate peers). Obviously there's something that allows this to happen. Just switching a panic to a return seems like a code smell and this underlying issue might happen to other reactors elsewhere"", ""> do we not want to do deeper investigation like it says in the issue or are we just going to ignore this panic and close the issue entirely? we can just look for adding duplicate peers when we are looking at the peering traces, since that should cover if the same peer is trying to connect twice and if that's actually a problem. atm this is blocking and doesn't seem to be break this connection to the peer, so we should be okay to merge""]"
15,26,15_azure_bicep_nuget_https www,"['azure', 'bicep', 'nuget', 'https www', 'www', '13', 'ps1', 'pipelines', 'sdk', '15']","[""@Copilot not only did you completely forget to make the necessary adjustment in [CODE] (which are admittedly a little finicky, as you have to use [CODE] to retrieve the [CODE] setting, but then also match that URL against the Azure Repo patterns). No, you also failed to introduce a new test case ([CODE]) to verify that change. Also, you test for [CODE] here, but that's absolutely not what we want to set! This would apply to all remote URLs, not only to the Azure Repos ones. You _definitely_ need to initialize a new repository (either via [CODE] or via [CODE]) and then configure a valid-looking Azure Repo URL in there, then call [CODE] and _then_ verify that the [CODE] is set (substituting the actual URL for [CODE]). Back to work!"", ""Azure.Identity 1.13.1 is deprecated https://www.nuget.org/packages/Azure.Identity/1.13.1 Note that 1.15.0-beta1 https://www.nuget.org/packages/Azure.Identity/1.15.0-beta.1#dependencies-body-tab removes the unnecessary reference to System.Memory on net8.0 unknown when that will GA but based on history that's in 2-3 months unless you can speed that up."", ""Azure.Identity 1.13.1 is deprecated https://www.nuget.org/packages/Azure.Identity/1.13.1 Note that 1.15.0-beta1 https://www.nuget.org/packages/Azure.Identity/1.15.0-beta.1#dependencies-body-tab removes the unnecessary reference to System.Memory on net8.0 unknown when that will GA but based on history that's in 2-3 months unless you can speed that up.""]"
16,24,16_arguments instead_range just_customization_clause,"['arguments instead', 'range just', 'customization', 'clause', 'v4', 'internal', 'variant', 'arguments', 'range', 'commit 93a5029']","['This one appears to be wrong; the error range should just be on the type arguments, but is instead on the entire heritage clause.', 'This one appears to be wrong; the error range should just be on the type arguments, but is instead on the entire heritage clause.', 'This error message is not great, it does not mention anything about requiring just single item to match the predicate.']"
17,24,17_xml_summary_documentation_tags,"['xml', 'summary', 'documentation', 'tags', 'duplicate', 'remove duplicate', 'invalid xml', 'code tags', 'tag cause', 'tag']","['Duplicate XML documentation. The method already has comprehensive documentation above (lines 104-107), but additional summary tag is added below (lines 108-110). Remove the duplicate documentation. [CODE_BLOCK]', 'Duplicate summary tags are incorrectly placed. There are two consecutive summary opening tags without a corresponding closing tag, which will cause XML documentation parsing errors. [CODE_BLOCK]', 'Duplicate summary tags create malformed XML documentation. The method already has proper documentation above, and this additional summary tag will cause parsing errors. [CODE_BLOCK]']"
18,23,18_actually need_needed actually_reimplementing_run release,"['actually need', 'needed actually', 'reimplementing', 'run release', 'solana', 'misunderstanding', 'need actually', 'need jobs', 'jobs shouldn', 'need class']","['Do we actually need this class?', 'Is this actually required for Solana pathways? IIRC I did not need to actually call this', ""Why do we need all this jobs? shouldn't run-release be enough?""]"
19,23,19_default_options_expose_mentioned,"['default', 'options', 'expose', 'mentioned', 'guess', 'individual', 'hate', 'duplicating', 'actually redundant', 'behavior comment']","[""💭 Seems like we keep duplicating this kind of stuff everywhere. I assume the unified config epic will solve this, but I guess we can't quite wait for it... 🤔"", ""This shouldn't be done on the automatic background compactions. We need these compaction options only for the manual compactions done by the BackgroundCompactionService & SnapshotCache. These default options on the rocksdb options should be coming from an ini file we don't want individual ozone configuration corresponding to each and every rocksdb configuration this might get very tough to handle later. https://issues.apache.org/jira/browse/HDDS-12484 cc: @Galsza"", 'There is no point to this being an option. Make it a bool and the serde default should default to false. Customers using the old version should submit the old SubscriptionParams struct and it should be deserialized in the Lazer service, defaulting the ignore field if not present.']"
20,22,20_needed don_need comment_need logic_needed shouldn,"['needed don', 'need comment', 'need logic', 'needed shouldn', 'needed need', 'layer', 'necessary delete', 'need include', 'comment needed', 'deep']","['Delete this comment, it is not needed.', ""You don't need this comment"", ""I don't think we need this logic.""]"
21,21,21_drop_relevant_irrelevant_churn,"['drop', 'relevant', 'irrelevant', 'churn', 'looks redundant', 'overkill', 'redundant', 'applies', 'confuse', 'remove redundant']","['Drop this note, seems irrelevant', 'Drop, its not super relevant', 'Drop - not relevant']"
22,21,22_interface_concrete_remove method_implementations,"['interface', 'concrete', 'remove method', 'implementations', 'method delete', 'overloads', 'method removed', 'binary compatibility', 'thread safe', 'method']","['This PR addresses issue #7941 created by @live1206, who requested removing the Update method stating ""we should barely need to update input types."" The method was only used in test code, not production scenarios. However, if you believe the Update method should be retained, I can restore it. Should I revert these changes?', ""This comment is wrong - the implementation of the interface was made thread-safe - doesn't change whether the interface can be used safely - because external implementations of the interface might still not be thread-safe. This comment should be moved to the implemenation class"", ""You were absolutely right to be concerned! Default interface methods don't create actual method overloads in the compiled IL of concrete classes, which means binary compatibility would still be broken. I've restored the obsolete method implementations back to the concrete classes and removed the default implementations from interfaces. Now the method overloads exist as actual methods on concrete types like [CODE] and [CODE], ensuring true binary compatibility. Fixed in commit 3d7bb39.""]"
23,21,23_dependency_pglite_package json_package,"['dependency', 'pglite', 'package json', 'package', 'lock', 'vendored', 'want update', 'dependencies', 'change don', 'json']","['I cannot add an x-version-update tag to line 237 because the entire dependency block (lines 233-240) is commented out due to ""Dependency not available in Maven Central"". Adding a comment tag inside an XML comment block would create invalid XML. Should this dependency be uncommented to add the tag, or would you prefer a different approach?', 'The package-lock.json file was accidentally added to the api/ directory. It was an empty lock file with no corresponding package.json and served no purpose since the actual package management happens in api/source/. Removed in commit 79dc5fe.', ""> Being a year out of date makes handling updates as necessary difficult and leaves you exposed to any issues resolved over the previous year as well as increasing the risk and difficulty in updating when it becomes necessary Agreed. There is definitely dependency debt in Lotus. The process we have talked about is doing dependency updates in bulk after a network upgrade. That was added to the network upgrade template, but there just hasn't been another network dependency to follow that step.""]"
24,20,24_middleware_internet_broken links_route,"['middleware', 'internet', 'broken links', 'route', 'url', '404', 'documents', 'btw', 'http', 'urls']","['This is incorrect. Firstly, this has nothing to do with preventing broken links. Secondly, follow the guidance in the Google Developers Style Guide, as this article already specifies.', ""would like to separate route and middleware logic that didn't work well with the health middleware back then and caused countless bug reports where the route is defined, the timeout middleware can be defined with a specific time or globally you can specify a route in app.use and also operate handler chaining [CODE_BLOCK] or [CODE_BLOCK] or [CODE_BLOCK]"", '@copilot you are unable to access the internet due to the firewall rules. Please undo all URL changes that point at the internet, and instead focus on making sure there are no broken links within the HTML documents that point to anchors within the documents themselves.']"
25,19,25_counter_performance_perf_limit,"['counter', 'performance', 'perf', 'limit', 'switch', 'improve', '38', 'apart', 'harsh', 'hell']","['Where does performance come from? Its just types. If you are telling about editor perf, then I would say tsc and tsserver perf is bad as hell and tsgo is a replacement.', ""Does that mean that for ALL components, we have to think about ALL properties? I'm waiting to see your benchmark tests, but you're going to kill the performance of a page with several hundred elements. I don't think that's very realistic."", 'agree. anyway CAT seems to be very broken at the moment. Under very light load, it works occasionally, but once I increase the number of transactions, the chain halts. I am right now going over the whole implementation to familiarize with it and see what can be improved. So, I am fine with merging this to be on the same version as v0.38.x branch. Otherwise, we could revert that commit and wait until we fix the real issues']"
26,18,26_com dotnet_microsoft_dotnet_cs,"['com dotnet', 'microsoft', 'dotnet', 'cs', 'learn microsoft', 'https learn', 'platform', 'microsoft com', 'learn', 'testframework']","['src/Platform/Microsoft.Testing.Platform/CommandLine/PlatformCommandLineProvider.cs(4,1): error IDE0005: (NETCORE_ENGINEERING_TELEMETRY=Build) Using directive is unnecessary. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0005)', 'src/Platform/Microsoft.Testing.Platform/Hosts/TestHostBuilder.cs(4,1): error IDE0005: (NETCORE_ENGINEERING_TELEMETRY=Build) Using directive is unnecessary. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0005)', ""I see - do you have a recommendation for where to add - is the file I suggested the appropriate place? I'm not super familiar with testing for native aot. Pretty bummed to see a copy of this code to begin with. Seems to have originated from long ago in corefxlab. I had a look at https://dev.azure.com/dnceng-public/public/_build/results?buildId=1054742&view=logs&j=15d34cf8-8614-5f8a-e364-3c281b6c41dd&t=2f724b17-e574-5ab4-a401-210ce585d93f And I see a couple places where nativeaot has reflection tests. I see https://github.com/dotnet/runtime/tree/main/src/tests/reflection - hodgepodge of what mostly look like regression tests. Nothing comprehensive. https://github.com/dotnet/runtime/blob/main/src/tests/nativeaot/SmokeTests/Reflection/Reflection.c - another hodgepodge Seems to me like we can add a regression-type test to either of these spots to get aot coverage, but I'm not seeing a great place where we have a shared codebase for all reflection tests. @MichalStrehovsky do you have a suggestion?""]"
27,18,27_pr let_separate pr_previous pr_relevant,"['pr let', 'separate pr', 'previous pr', 'relevant', 'change irrelevant', 'pr follow', 'needed actually', 'looks weird', 'pr dont', 'irrelevant pr']","['@copilot This change seems irrelevant to the PR - can it removed if so?', 'It was not required in the previous PR, and it was unintentionally missed🙏', ""I didn't ask you to do this. Why did you think this was needed? And even if actually it is, this change should be in a separate PR. Follow the general principle to split PRs into minimum units.""]"
28,18,28_log_5xx_errors warnings_behaviour,"['log', '5xx', 'errors warnings', 'behaviour', 'tests match', 'exception message', 'stack trace', 'pylint', 'warning log', 'trace']","['Add a specific condition for server errors (5xx) that will emit an error log and keep all the other errors as warnings. Fix all the unit tests to match this behaviour.', ""please find a better way to include the exception's message and full stack trace into the warning log, just {e} is not going to be helpful for the users and developers wh would be analysing log messages."", ""please find a better way to include the exception's message and full stack trace into the warning log, just {e} is not going to be helpful for the users and developers wh would be analysing log messages.""]"
29,18,29_async_store_follows code_block_retrieve,"['async', 'store', 'follows code_block', 'retrieve', 'follows', 'settings', 'sample', 'state', 'series', 'file operations']","['same, async_update_config is not async and needs to be made that way in store', 'async_delete_mapping is not an async method. make it async in store.', 'This is an improper way to retrieve state and set a store state in this app. We can already retrieve the paused state by looking at the current Settings value from the settings.store. We should use that store in the UI instead of tracking the state directly in here.']"
30,17,30_check redundant_need check_later_check unnecessary,"['check redundant', 'need check', 'later', 'check unnecessary', 'different project', 'need verify', 'input output', 'issue remove', 'feature flag', 'autorest']","['@greptileai This does not need to be checked as the reset vector is an input, not output.', 'I dont want this check here in this verifier/rule. THis will be a completly different project I will ask you to implement later. For now, remove it', ""if we're creating the functions to be sent then we shouldn't need to verify them. doing so here adds very little value and too much complexity imo""]"
31,17,31_40_help_typespec_compilation,"['40', 'help', 'typespec', 'compilation', 'auto generated', 'causes build', 'compilation errors', 'issue https', 'generator', 'com microsoft']","['This option is now available for help, hence the following 4 tests are failing: CompilerOptions\\fsi\\help (-?-40) -- failed CompilerOptions\\fsi\\help (--help-40) -- failed CompilerOptions\\fsi\\help (/?-40) -- failed CompilerOptions\\fsi\\help (-? --nologo-40) -- failed They are part of the FsharpQa suite. This can help you, the new lines are added between clearResultsCache and exec options: [CODE_BLOCK]', 'the updated [CODE] has some scenarios that we did not support yet (nested nextlink property). Now this project cannot successfully generate therefore I have to disable it for now. Tracking in this issue: https://github.com/microsoft/typespec/issues/8009', ""The generated model factory is missing from the new TypeSpec generator output. In commit 7ebcb9e~1, there was an auto-generated [CODE] file that provided basic factory methods. The new generator isn't producing this file, only allowing for manually maintained stubs with CodeGenType attributes. Created a stub at 2aaf975 but investigation needed to determine why the generator doesn't create the auto-generated version.""]"
32,16,32_sdfg_program_target code_dace,"['sdfg', 'program', 'target code', 'dace', 'tizen', 'architecture', 'code generation', 'code generator', 'interesting', 'symbols']","[""I see how this is different than CoreCLR reflection, but right now I'm not seeing a small enough change without side effects to bring them closer. Considering all accessors would introduce allocation and also would not gain anything without further changes to MLC - it's also not fixing any reported issue. I do see that we could realized longer term benefit by sharing more of the managed code in CoreCLR reflection and MLC - but right now they are built on different metadata models - so fixing this is not in the scope of this PR. I would be interesting in how we could do that longer term though."", 'The manually created SDFG does not have the same functionality as the DaCe-Python program you originally wrote. I believe the program was incorrect because you tried to define the symbol inside it with [CODE]. However, this is incorrect. Symbols (defined or not) must be defined outside of the program. For example, as follows: [CODE_BLOCK] Maybe give it a try and see if it works?', 'This is not a good example. It does not showcase anything other than the target code generation, which is already easy to modify in the current structure (see [CODE] and [CODE]). The example needs to show something new and more involved. Please replace this with an OpenCL code generator that modifies, e.g., the allocation process and copies. You can then use the same example to demonstrate how an SDFG file might be split to another SDFG for the kernel portion alone (i.e., for the .cl file) and how the target code generation pass interacts with this.']"
33,16,33_rootnamespace_lambda_properties_independent,"['rootnamespace', 'lambda', 'properties', 'independent', 'property', 'sets', 'code property', '3b1a457', 'way code', 'linq']","[""It doesn't look like we have a test that validates we respect [CODE] on a property. Can you add a test to validate this?"", 'If there is a public constructor that does not accept all non-public properties, that should still be flagged. Example: [CODE_BLOCK] In this example, there is no way to set the [CODE] property, so a model factory is needed.', 'Removed the redundant empty check for RootNamespace. Since the PropertyGroup condition on line 45 ensures this block only executes when RootNamespace is empty, and line 47 immediately sets it to a non-empty value, the check is unnecessary. Commit 114678a.']"
34,16,34_duration_calculation_delays_timeout,"['duration', 'calculation', 'delays', 'timeout', 'event loop', 'race', 'delay', 'seconds', 'documented', 'consider reusing']","['Calling asyncio.run on each invocation can be expensive and will fail if already within a running event loop. Consider reusing a single event loop or making [CODE] itself async to avoid overhead. [CODE_BLOCK]', ""The retry delay calculation uses [CODE] which will be 2, 4, 8... for attempts 1, 2, 3. This doesn't match the documented behavior of 1s, 2s, 4s, 8s. Consider using [CODE] to get the expected 1, 2, 4, 8 second delays. [CODE_BLOCK]"", '[nitpick] The timeout value of 1100ms (1.1 seconds) is longer than the original 1 second timeout, which seems counterintuitive for fixing a timing issue. Consider using a shorter duration like 900ms or add a comment explaining why a longer timeout is needed to fix the interruption test. [CODE_BLOCK]']"
35,15,35_downgrade_x64_workload_dotnet,"['downgrade', 'x64', 'workload', 'dotnet', 'linux', 'host', 'net sdk', 'net', 'instructions file', 'points']","[""This is in reaction to https://github.com/dotnet/aspire/issues/10212. The fact that we built non-x64 images depending on your host machine means that your images aren't always compatible with certain environments. Also, I think it's spooky action to get different behavior depending on where you build."", 'Hey @copilot - this [CODE] file alone will not work without .NET 10, instead you need to include a .csproj for the Aspire app host, and likely a solution (I prefer the .slnx format) that points to the hosting and app host projects.', "">ToMSBuildRuntimeIdentifierString [](http://example.com/codeflow?start=25&length=32) I tried win-x64 and I got an error: > BaseImageNotFoundException: The RuntimeIdentifier 'win-x64' is not supported by dotnet/aspnet:8.0. The supported RuntimeIdentifiers are linux-x64,linux-arm,linux-arm64""]"
36,15,36_lint_formatted_amici_entries,"['lint', 'formatted', 'amici', 'entries', 'group', 'actions runs', 'directory', 'configuration', 'groups', 'right question']","[""golangci-lint didn't run on this PR so I'm not 100% convinced this works. IMO we should delete the get diff step and always run golangci-lint b/c it doesn't take long. https://github.com/celestiaorg/celestia-core/actions/runs/15759494414/job/44423931502?pr=2042"", 'Fails here: https://github.com/AMICI-dev/AMICI/actions/runs/15751839611/job/44398424235?pr=2801', 'You\'re right to question this. The current configuration has a flaw - each directory entry defines its own ""gomod-all"" group, but dependabot groups work within individual package-ecosystem entries, not across multiple entries. This means they\'re actually creating separate groups with the same name rather than one unified group. The root go.mod at ""/"" is included and should be grouped with the others. Let me fix this by using a different approach that ensures all Go module updates are truly bundled together.']"
37,15,37_tasks_task_achieve_unreliable,"['tasks', 'task', 'achieve', 'unreliable', 'iterator', 'incorrect error', 'ids', 'remaining', 'reporting', 'code_block using']","['This fallback warning suggests the task tracking logic may be unreliable. The warning message should include more debugging information like the total number of tasks and tracked tools to help diagnose the issue. [CODE_BLOCK]', 'Using [CODE] as task_id in the error handling is incorrect because [CODE] returns the number of remaining tasks, not the ID of the failed task. This will likely map to the wrong tools in the error case. [CODE_BLOCK]', ""Using [CODE] as task_id in error handling is incorrect. When a task fails, [CODE] represents the number of remaining tasks, not the failed task's ID. This will cause incorrect error attribution. [CODE_BLOCK]""]"
38,14,38_add missing_collections_builds_metadata,"['add missing', 'collections', 'builds', 'metadata', 'docs', 'architecture', 'usage', 'link doesn', 'trivial', 'available commit']","['Oh, I found [Repository Architecture](https://liambx.com/docs/contributing/repository-architecture) documentation is old..', 'This whole guide is too complicated. Just explain how the create phase will fail if it already exists and how ""adoption"" is a way to opt in to using the pre-existing resource. keep it concise and simple.', 'I think we can also delete these lines. These docs should now be focused on developer docs and advanced, unsupported scenarios, rather than central supported constructs.']"
39,14,39_remove function_func_doesn compile_unused parameter,"['remove function', 'func', 'doesn compile', 'unused parameter', 'remove unused', 'like remove', 'usages', 'variable remove', 'remove useless', 'remove update']","['Remove this function and all usages', ""this doesn't compile, remove it, keep it only in the update func"", 'remove that function, we dont need this. Update the places where you are calling this accordingly']"
40,14,40_import_imports_unnecessary imports_dynamic,"['import', 'imports', 'unnecessary imports', 'dynamic', 'import longer', 'similar issues', 'actually use', 'update make', 'liam', 'remove unnecessary']","['Make update here to make it lazy import', ""Removed the unnecessary import as requested. The DecisionInstance interface doesn't actually use OffsetDateTime, so the import was indeed redundant. Fixed in 50212b98."", 'With the following modification, import is no longer possible via src. https://github.com/liam-hq/liam/pull/2786/files#r2244866943']"
