Topic,Count,Name,Representation,Representative_Docs
11,27,11_error_heritage_augmentations_zod,"['error', 'heritage', 'augmentations', 'zod', 'internal', 'anyhow', 'customization', 'clause', 'v4', 'variant']","['This is a silly method that should probably not have been made public. The 2nd argument is only used for the error message. I mostly added literal here to make it clear that it is different from the interdep_type used in the grahp', 'This one appears to be wrong; the error range should just be on the type arguments, but is instead on the entire heritage clause.', 'This one appears to be wrong; the error range should just be on the type arguments, but is instead on the entire heritage clause.']"
12,26,12_azure_bicep_identity_nuget,"['azure', 'bicep', 'identity', 'nuget', 'www', 'sdk', 'cni', '13', 'packages', 'org']","[""This Devops logger is just a helper to highlight errors and warnings in the logs it doesn't impact the functionality of pass/fail of a step. Based on https://github.com/microsoft/azure-pipelines-tasks/issues/19387 this logger is also very outdated and so removing is probably the right thing to do anyway. I've filed issue https://github.com/Azure/azure-sdk-for-net/issues/50560 to consider a replacement."", ""Azure.Identity 1.13.1 is deprecated https://www.nuget.org/packages/Azure.Identity/1.13.1 Note that 1.15.0-beta1 https://www.nuget.org/packages/Azure.Identity/1.15.0-beta.1#dependencies-body-tab removes the unnecessary reference to System.Memory on net8.0 unknown when that will GA but based on history that's in 2-3 months unless you can speed that up."", ""Azure.Identity 1.13.1 is deprecated https://www.nuget.org/packages/Azure.Identity/1.13.1 Note that 1.15.0-beta1 https://www.nuget.org/packages/Azure.Identity/1.15.0-beta.1#dependencies-body-tab removes the unnecessary reference to System.Memory on net8.0 unknown when that will GA but based on history that's in 2-3 months unless you can speed that up.""]"
13,26,13_nango_gotchas_useful_struct,"['nango', 'gotchas', 'useful', 'struct', 'function', 'assign', 'naming', 'variable', 'print', 'informative']","[""These aren't useful information for the user since the calls are already abstracted by Nango"", 'These are non useful nor informative gotchas. A lot these details are handled by Nango so our users don\'t have to know these ""gotchas"" and others have already been covered in the set up guide above', 'This and none of the below are useful or informative gotchas. A lot of Nango\'s value prop is that these details are handled by Nango so our users don\'t have to worry about or even know these ""gotchas"". Please remove and note for other pull requests.']"
14,25,14_panic_error_peer_throw,"['panic', 'error', 'peer', 'throw', 'happen', 'peers', 'dispatched', 'panics', 'underlying', 'investigation']","['Return an error instead of panic?', ""It feels like we're glossing over the underlying problem. The panic was added there for a reason because it asserts assumptions of how the peer manager should behave (i.e. it should not receive duplicate peers). Obviously there's something that allows this to happen. Just switching a panic to a return seems like a code smell and this underlying issue might happen to other reactors elsewhere"", ""> do we not want to do deeper investigation like it says in the issue or are we just going to ignore this panic and close the issue entirely? we can just look for adding duplicate peers when we are looking at the peering traces, since that should cover if the same peer is trying to connect twice and if that's actually a problem. atm this is blocking and doesn't seem to be break this connection to the peer, so we should be okay to merge""]"
15,24,15_default_options_compactions_rocksdb,"['default', 'options', 'compactions', 'rocksdb', 'apparent', 'guess', 'mentioned', 'config', 'action', 'keep']","['Yeah, I agree. I just kinda left it for no apparent reason. Given that it will be driven through the UI and we have this in the dataset one (again for no apparent reason than to enforce permissioning)', 'There is no point to this being an option. Make it a bool and the serde default should default to false. Customers using the old version should submit the old SubscriptionParams struct and it should be deserialized in the Lazer service, defaulting the ignore field if not present.', ""This shouldn't be done on the automatic background compactions. We need these compaction options only for the manual compactions done by the BackgroundCompactionService & SnapshotCache. These default options on the rocksdb options should be coming from an ini file we don't want individual ozone configuration corresponding to each and every rocksdb configuration this might get very tough to handle later. https://issues.apache.org/jira/browse/HDDS-12484 cc: @Galsza""]"
16,24,16_comment_copilot_remove_957,"['comment', 'copilot', 'remove', '957', 'holy', 'interact', 'disregard', '458', 'rights', 'superficial']","['@copilot remove this comment', '@copilot remove this comment', '@copilot remove this comment']"
17,24,17_documentation_xml_summary_duplicate,"['documentation', 'xml', 'summary', 'duplicate', 'tags', 'tag', 'lines', 'above', 'additional', 'tostring']","['Duplicate summary tags create malformed XML documentation. The method already has proper documentation above, and this additional summary tag will cause parsing errors. [CODE_BLOCK]', 'Duplicate XML documentation. There are two <summary> tags for the same method (ToString), which will cause XML documentation generation warnings. [CODE_BLOCK]', 'Duplicate XML documentation. There are two <summary> tags for the same method (ToString), which will cause XML documentation generation warnings. [CODE_BLOCK]']"
18,23,18_pr_changes_badge_file,"['pr', 'changes', 'badge', 'file', 'changed', 'hassintegration', 'readme', 'workflow', 'linting', 'title']","['remove changes in this file.. not needed this file should not be there in files changed for this pr', '@copilot please remove the changes to this file. There should be no changes to this file in this PR.', '@copilot please remove the changes to this file. There should be no changes to this file in this PR.']"
19,23,19_line_remove_field_response_model,"['line', 'remove', 'field', 'response_model', 'schemas', 'entirely', 'exact', 'wait', 'this', 'delete']","['Remove this line', 'remove this line', 'Remove this line']"
20,23,20_why_needed_aside_necessary,"['why', 'needed', 'aside', 'necessary', 'activation', 'deliberate', 'pathways', 'did', 'need', 'actually']","['Why is this needed?', 'Why is this needed?', 'Why do you need this?']"
21,22,21_combinations_check_null_matches,"['combinations', 'check', 'null', 'matches', 'validation', 'code_block', 'condition', 'aliases', 'behavior', 'returns']","[""The validation logic counts non-None options but doesn't account for the fact that [CODE] and [CODE] are aliases for the same operation. This could incorrectly reject valid command combinations like [CODE] being used alone. [CODE_BLOCK]"", ""Similar to the profile edit command, the option conflict validation doesn't recognize that some options might be aliases or compatible combinations. The validation should be more nuanced about which specific combinations are actually problematic. [CODE_BLOCK]"", 'Breaking Change: The new behavior for negative/large offsets and [CODE] could break existing code. The change in behavior for invalid offsets (returning [CODE] instead of all subdomains) and for hosts like [CODE] (returning [CODE] instead of [CODE]) could break existing code that relies on the old behavior. The method’s new behavior (returning an empty slice for [CODE]) isn’t documented in the code. Maybe something like: [CODE_BLOCK]']"
22,21,22_rego_causes_copilot_coding,"['rego', 'causes', 'copilot', 'coding', 'parameter', 'codedom', '7631869', 'global', 'policies', 'shadows']","['[CODE] is not used in any meaningful way and just clutters code and causes additional tuple allocations. Get rid of it. The comment about CodeDOM is wrong - the implementation below in this very file does not use CodeDOM. Generalize ""Do not invent and carry unneeded variables and values"" into a rule for copilot instructions file.', ""I can't use [CODE] as a parameter name because it shadows the global [CODE] variable in Rego (causes a compile error). Used [CODE] instead which is a common convention in Rego policies. Changes in commit 7631869."", ""I can't use [CODE] as a parameter name because it shadows the global [CODE] variable in Rego (causes a compile error). Used [CODE] instead which is a common convention in Rego policies. Changes in commit 7631869.""]"
23,21,23_method_interface_concrete_implementations,"['method', 'interface', 'concrete', 'implementations', 'delete', 'overloads', 'methods', 'classes', 'moved', 'compatibility']","['Delete this method', ""This comment is wrong - the implementation of the interface was made thread-safe - doesn't change whether the interface can be used safely - because external implementations of the interface might still not be thread-safe. This comment should be moved to the implemenation class"", ""You were absolutely right to be concerned! Default interface methods don't create actual method overloads in the compiled IL of concrete classes, which means binary compatibility would still be broken. I've restored the obsolete method implementations back to the concrete classes and removed the default implementations from interfaces. Now the method overloads exist as actual methods on concrete types like [CODE] and [CODE], ensuring true binary compatibility. Fixed in commit 3d7bb39.""]"
24,21,24_file_remove_told_init,"['file', 'remove', 'told', 'init', 'lets', 'committed', 'let', 'generated', 'this', 'once']","['Remove this file', 'Remove this file', 'Remove this file']"
25,21,25_why_do_needed_code,"['why', 'do', 'needed', 'code', 'we', 'lack', 'mmm', 'polluting', 'requirement', 'esm']","[""What is the purpose of this code? We've already filtered the models so they are all compatible. This makes no sense. Maybe I'm missing something, but if not - just do [CODE]."", ""I noticed the lack of [CODE] on this method. I guess [CODE] isn't a virtual on [CODE]? Is it supposed to be?"", ""Why do we need the [CODE] here? It looks to me like the views are the same as before, so if it wasn't needed before, it shouldn't be needed now?""]"
26,20,26_managed_exes_methods_less,"['managed', 'exes', 'methods', 'less', 'reasons', 'named', 'character', 'won', 'remove', 'binary']","[""Is this removing methods that start with the [CODE] character? Are there really methods named that, which won't be removed for other reasons? Remove this if it doesn't make sense, or explain why it's here."", ""Is this removing methods that start with the [CODE] character? Are there really methods named that, which won't be removed for other reasons? Remove this if it doesn't make sense, or explain why it's here."", '[CODE_BLOCK] I do not think managed .exes are a thing in modern .NET. None of the tooling will produce them. Should we drop [CODE] here to avoid suggesting that managed .exes are a thing? Alternatively, we can say `is not a .NET binary."". ""binary"" looks less Windows-specific, but also less descriptive. It won\'t give you a hint that you need to pass in .dll.']"
27,20,27_test_anything_different_looks,"['test', 'anything', 'different', 'looks', 'doesn', 'destroyed', 'disregarded', 'coordinates', 'boto3', 'gridlayoutmangerminmaxtests']","[""this test doesn't actually do anything. just remove this test."", ""I'm not sure this test adds value - crewAI doesn't ship boto3, the user provides it. I think this test can be disregarded"", ""I don't get the purpose of this test - it compares semantically different coordinates and no doubt they are different if different values are assigned. Requesting to delete this test.""]"
28,20,28_file_test_tests_integration,"['file', 'test', 'tests', 'integration', 'testing', 'glob', 'ae54398', 'test_solver_integration', 'test_valid_command', 'tomatchsnapshot']","['remove this tests file', ""The TESTING.md file was a manual testing guide I created to document how to test the modal dialog functionality. However, since it's not standard practice for this repository, I've removed it in commit ce40027."", '[nitpick] The test path for BrokenLinks.Tests.ps1 uses only the filename, which may not resolve correctly; consider using the full path or a consistent glob pattern to ensure Pester locates the test file.']"
29,20,29_tests_altogether_stringify_fsharpplus,"['tests', 'altogether', 'stringify', 'fsharpplus', 'naming', 'move', 'associated', 'csharp', 'effect', 'test']","[""Don't create tests with vague naming, such as Issue410 tests - reading that code doesn't convey meaning. Can this be tested more isolated as part of [CODE]? If not, move this test to the [CODE] class and align the naming."", 'I renamed [CODE] to [CODE] throughout the file. However, regarding removing the line [CODE] - when I remove it, the test fails because the effect no longer tracks changes to the stringify function. The line appears to be necessary to ensure the effect re-runs when the stringify function changes. Could you clarify what makes this line unnecessary? Fixed in commit', 'I very specifically asked for a test that uses F# interactive and [CODE] to download FSharpPlus. You tried to be creative but defeated the purpose - we NEED a version of FSharpPlus that was build using OLDER compiler. You CANNOT replace that with a repro snippet here. Get rid of this test']"
30,19,30_tests_mocking_verifying_mock,"['tests', 'mocking', 'verifying', 'mock', 'todo', 'flushall', 'prisma', 'upgrading', 'items', 'separately']","['@copilot add a TODO comment that upgrading to 7.3 to breaks the tests and has to be fixed separately.', ""You're absolutely right. I've removed the ineffective tests and replaced them with an explanatory comment in commit ce40027. The tests were only verifying mocking capabilities rather than testing meaningful functionality."", 'At times, integration-level tests for repositories can simply replace unit tests because verifying that we are calling off to prisma is less useful than just verifying the inputs and outputs of the repository and its interactions with the DB']"
31,19,31_log_warning_logged_message,"['log', 'warning', 'logged', 'message', 'analysing', 'wh', 'emit', 'users', 'exception', '5xx']","['Add a specific condition for server errors (5xx) that will emit an error log and keep all the other errors as warnings. Fix all the unit tests to match this behaviour.', ""please find a better way to include the exception's message and full stack trace into the warning log, just {e} is not going to be helpful for the users and developers wh would be analysing log messages."", ""please find a better way to include the exception's message and full stack trace into the warning log, just {e} is not going to be helpful for the users and developers wh would be analysing log messages.""]"
32,19,32_copilot_recommendations_section_implement,"['copilot', 'recommendations', 'section', 'implement', 'remove', 'prices', 'costusage', 'mongodb', 'focusing', 'commitmentdiscountusage']","['@copilot remove this.', '@copilot Remove this', '@copilot Remove this.']"
33,18,33_pr_from_file_remove,"['pr', 'from', 'file', 'remove', 'dvd', 'getdurationunit', 'this', 'omit', 'sh', 'let']","['Remove this file from this PR', 'Remove this file from this PR', 'Remove this file from this PR']"
34,18,34_async_store_async_update_zone_async_update_config,"['async', 'store', 'async_update_zone', 'async_update_config', 'state', 'made', 'stm32f4', 'make', 'way', 'sample']","['same, async_update_config is not async and needs to be made that way in store', 'async_update_zone is not async in store. make it async there.', 'async_update_zone is not async in store. make it async.']"
35,18,35_sdfg_program_symbol_coreclr,"['sdfg', 'program', 'symbol', 'coreclr', 'hex', 'symbols', 'architecture', 'undefined', 'native', 'generator']","[""I see how this is different than CoreCLR reflection, but right now I'm not seeing a small enough change without side effects to bring them closer. Considering all accessors would introduce allocation and also would not gain anything without further changes to MLC - it's also not fixing any reported issue. I do see that we could realized longer term benefit by sharing more of the managed code in CoreCLR reflection and MLC - but right now they are built on different metadata models - so fixing this is not in the scope of this PR. I would be interesting in how we could do that longer term though."", 'This is incorrect. The above program is a legitimate use case of undefined symbols. In fact, the undefined symbol should _not_ appear in the argument list. I am sorry to have caused confusion, but this test should succeed, and thus you should test both sdfg.validate() and sdfg.compile().', 'This is not a good example. It does not showcase anything other than the target code generation, which is already easy to modify in the current structure (see [CODE] and [CODE]). The example needs to show something new and more involved. Please replace this with an OpenCL code generator that modifies, e.g., the allocation process and copies. You can then use the same example to demonstrate how an SDFG file might be split to another SDFG for the kernel portion alone (i.e., for the .cl file) and how the target code generation pass interacts with this.']"
36,18,36_changes_modify_file_edit,"['changes', 'modify', 'file', 'edit', 'changed', 'mondo', 'exceptionally', 'grab', 'area', 'should']","['there should be no changes in this file.', ""Don't modify this file. Remove all changes."", ""Don't modify this file. Remove all changes.""]"
37,18,37_lint_directory_amici_job,"['lint', 'directory', 'amici', 'job', 'celestia', 'gofmt', 'celestiaorg', 'golangci', 'https', 'liam']","['You\'re right to question this. The current configuration has a flaw - each directory entry defines its own ""gomod-all"" group, but dependabot groups work within individual package-ecosystem entries, not across multiple entries. This means they\'re actually creating separate groups with the same name rather than one unified group. The root go.mod at ""/"" is included and should be grouped with the others. Let me fix this by using a different approach that ensures all Go module updates are truly bundled together.', ""golangci-lint didn't run on this PR so I'm not 100% convinced this works. IMO we should delete the get diff step and always run golangci-lint b/c it doesn't take long. https://github.com/celestiaorg/celestia-core/actions/runs/15759494414/job/44423931502?pr=2042"", ""It appears that ghalint's ability to ignore lint is incomplete and not all rules can be excluded.Also, the rules that could be excluded were not necessary because they were not covered in our implementation. ref: https://github.com/suzuki-shunsuke/ghalint/tree/main?tab=readme-ov-file#disable-policies Therefore, we implemented the exclusion process on the job side as a workaround. The results can be seen here: - Cases where action_ref_should_be_full_length_commit_sha fails: https://github.com/liam-hq/liam/actions/runs/15870057039/job/44744378667?pr=2198 - Other cases where lint fails: https://github.com/liam-hq/liam/actions/runs/15870111155/job/44744534855?pr=2198""]"
38,18,38_tech_mempool_debt_bother,"['tech', 'mempool', 'debt', 'bother', 'test', 'useless', 'adds', 'remove', 'tested', 'therefore']","[""The other tests don't bother with this since the test can fail early and so still leave this behind. So don't bother cleaning up."", 'this is already tested in the mempool and I think adds more tech debt than value therefore we should remove', 'this test adds more tech debt than value and this is already tested in the mempool therefore I think we should remove']"
39,18,39_test_remove_assertion_unit,"['test', 'remove', 'assertion', 'unit', 'this', 'well', 'exist', 'doesn', 'as', 'it']","['Remove this test', 'remove this test', 'remove this test']"
40,18,40_check_later_rename_accompanied,"['check', 'later', 'rename', 'accompanied', 'subscribedfeedids', 'successfulfeeds', 'stealth', 'completly', 'getcostrate', 'ignoredinvalidfeedids']","['the correct change is to delete this check and not replace it with another one -- this is a duplicate check now', 'I dont want this check here in this verifier/rule. THis will be a completly different project I will ask you to implement later. For now, remove it', '@copilot This initial check is unnecessary since we immediately check it later.']"
41,17,41_netcore_engineering_telemetry_microsoft_dotnet_cs,"['netcore_engineering_telemetry', 'microsoft', 'dotnet', 'cs', 'src', 'platform', 'build', 'com', 'learn', 'https']","['src/TestFramework/TestFramework/Assertions/Assert.AreEqual.cs(804,1): error IDE0055: (NETCORE_ENGINEERING_TELEMETRY=Build) Fix formatting (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0055)', 'src/Platform/Microsoft.Testing.Platform/CommandLine/PlatformCommandLineProvider.cs(4,1): error IDE0005: (NETCORE_ENGINEERING_TELEMETRY=Build) Using directive is unnecessary. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0005)', 'src/Platform/Microsoft.Testing.Platform/Hosts/TestHostBuilder.cs(4,1): error IDE0005: (NETCORE_ENGINEERING_TELEMETRY=Build) Using directive is unnecessary. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0005)']"
42,17,42_dependency_dependencies_vendored_package,"['dependency', 'dependencies', 'vendored', 'package', 'network', 'pglite', 'tag', 'upgrade', 'updates', 'year']","[""Well I meant remove the entire dependency. Why are we adding a dependency when there's other ways to create a Subject for testing. Look at other test files."", 'I cannot add an x-version-update tag to line 237 because the entire dependency block (lines 233-240) is commented out due to ""Dependency not available in Maven Central"". Adding a comment tag inside an XML comment block would create invalid XML. Should this dependency be uncommented to add the tag, or would you prefer a different approach?', ""> Being a year out of date makes handling updates as necessary difficult and leaves you exposed to any issues resolved over the previous year as well as increasing the risk and difficulty in updating when it becomes necessary Agreed. There is definitely dependency debt in Lotus. The process we have talked about is doing dependency updates in bulk after a network upgrade. That was added to the network upgrade template, but there just hasn't been another network dependency to follow that step.""]"
43,17,43_delete_file_didin_entirely,"['delete', 'file', 'didin', 'entirely', 'ask', 'todo', 'readme', 'old', 'md', 'whole']","['Delete this file', 'Delete this file', 'delete this file']"
44,17,44_silently_logging_failures_exceptions,"['silently', 'logging', 'failures', 'exceptions', 'catch', 'exception', 'permission', 'handling', 'errors', 'or']","['[nitpick] Silently ignoring exceptions makes debugging difficult; consider logging or handling errors to provide visibility into upload failures. [CODE_BLOCK]', 'The exception handling silently ignores PermissionError, which could mask legitimate permission issues when trying to read files. Consider logging the error or providing more specific handling for permission-related failures. [CODE_BLOCK]', 'The exception handling silently ignores PermissionError, which could mask legitimate permission issues. Consider logging the error or providing more specific handling for permission-related failures. [CODE_BLOCK]']"
45,16,45_constructor_shipped_relationships_parser,"['constructor', 'shipped', 'relationships', 'parser', 'field', 'deprecation', 'inliningrenamer', 'namegenerator', 'schemarb', 'typespec_schema']","[""I've restored the PublicAPI.Shipped.txt file to its original state to avoid modifying it. However, the build is now failing because the actual constructor signature in the code (with default parameter) doesn't match what's declared in the shipped file (without default parameter). Should I create a new constructor overload instead of modifying the existing one, or is there a different approach you'd recommend for handling this API change while keeping the shipped file unchanged?"", ""> Note on parser fix: While this is technically a bug in the schemarb parser, we don't need to fix it because the relationships field will be removed entirely in Phase 2 of this deprecation. I see"", ""> Note on parser fix: While this is technically a bug in the schemarb parser, we don't need to fix it because the relationships field will be removed entirely in Phase 2 of this deprecation. I see""]"
46,16,46_comment_remove_delete_pls,"['comment', 'remove', 'delete', 'pls', 'this', 'too', '', '', '', '']","['remove this comment', 'Remove this comment', 'remove this comment']"
47,16,47_pr_relevant_12979_alleging,"['pr', 'relevant', '12979', 'alleging', 'popped', 'units', 'resolving', 'principle', 'doesnt', 'owner']","['revert change. This is not relevant to this PR', 'I believe it popped up again, I only addressed these because of failures in this PR itself, IIRC. There were lots of failures', ""I didn't ask you to do this. Why did you think this was needed? And even if actually it is, this change should be in a separate PR. Follow the general principle to split PRs into minimum units.""]"
48,16,48_comments_nitpick_comment_animation,"['comments', 'nitpick', 'comment', 'animation', 'style', 'sample', 'commented', 'code_block', 'type', 'blocks']","['[nitpick] The large commented-out animation block clutters the sample. Consider removing or replacing it with a valid example to keep the sample concise. [CODE_BLOCK]', ""[nitpick] The inline type comments '# type: dict # type: ignore' are redundant and may cause confusion; use a single appropriate type-ignore comment or remove them. [CODE_BLOCK]"", '[nitpick] Multiple commented-out blocks in this sample view may confuse readers. Remove or update them to show a working animation example. [CODE_BLOCK]']"
49,16,49_gradle_test_consent_architectures,"['gradle', 'test', 'consent', 'architectures', 'literally', 'crawl', 'seo', 'baselines', 'although', 'run']","[""This was a change copilot made to fix a failing test. changing the syntax from (error) to (e) -- although I'm not convinced that would make a difference, should be the same. And maybe it tried to remove the consent at the same time? Or maybe the consent was failing...? I don't want to speak for Marina, but I don't think this is expected (we need the consent)."", 'ok hold on a second the data provider is definitely not easier to understand then multiple tests, can you go back to having one test method per link type and in every test method first test the result without a configured SEO URL , then add the SEO URL and check again that the response changed as expected? With that extract common code you need in all test methods to provide methods instead of copying the code to every test method', 'What is this even testing? this test is literally useless because *of course* the code that was written specifically for this test passes the test. it\'s literally right there above the test case. in fact, those listed architectures aren\'t above aren\'t even correct as they don\'t match what is actually specified in gradle. <img width=""4112"" height=""1456"" alt=""image"" src=""https://github.com/user-attachments/assets/8fd73d65-cef0-4808-aa58-e420a2e0a10c"" /> and in fact, gradle\'s architecture detection logic even allows for architectures outside of the ""known architectures"" list: <img width=""2688"" height=""736"" alt=""image"" src=""https://github.com/user-attachments/assets/2e8f189e-3c63-4185-ba78-969b1145b324"" /> all of these test cases do absolutely nothing. the correct way to test this would be to create a gradle test runner using gradle\'s testkit. although it\'s intended for testing plugins, it would work for this as well. you\'d want to hack together some kind of gradle project in a subdirectory to do this, and then you would run that as part of your CI. but this still would be relatively useless unless you\'re regularly updating the gradle version to keep in sync with the latest gradle releases.']"
50,15,50_downgrade_net_dotnet_x64,"['downgrade', 'net', 'dotnet', 'x64', 'workload', 'linux', 'host', '10', 'version', '204']","['Why did you downgrade the version of dotnet?', 'Why did you downgrade the version of dotnet?', "">ToMSBuildRuntimeIdentifierString [](http://example.com/codeflow?start=25&length=32) I tried win-x64 and I got an error: > BaseImageNotFoundException: The RuntimeIdentifier 'win-x64' is not supported by dotnet/aspnet:8.0. The supported RuntimeIdentifiers are linux-x64,linux-arm,linux-arm64""]"
51,15,51_termination_force_llm_based,"['termination', 'force', 'llm', 'based', 'guardrail', 'crate', 'failed', 'message', 'authentication', 'generation']","['Since this is a case of failed generation by LLM, it is better to retry based on the error message instead of force termination. The following PR will address this issue.', 'Since this is a case of failed generation by LLM, it is better to retry based on the error message instead of force termination. The following PR will address this issue.', 'Since this is a case of failed generation by LLM, it is better to retry based on the error message instead of force termination. The following PR will address this issue.']"
52,15,52_import_imports_unnecessary_50212b98,"['import', 'imports', 'unnecessary', '50212b98', 'decisioninstance', 'faulty', 'offsetdatetime', 'qualifying', 'dynamic', 'lazy']","[""You don't need this import, remove it."", ""You don't need this import, remove it."", '❌ this is unnecessary, please remove this import']"
53,15,53_c912567_deleted_requested_entry,"['c912567', 'deleted', 'requested', 'entry', 'commit', '1750299614', 'ddl', 'branch', 'policy', 'pglite']","['Entry deleted as requested in commit c912567.', 'Entry deleted as requested in commit c912567.', 'Entry deleted as requested in commit c912567.']"
54,15,54_step_feedback_pierrevalade_numbered,"['step', 'feedback', 'pierrevalade', 'numbered', 'cancel', 'remove', 'outdated', 'steps', 'logic', 'simplify']","['Remove this step', 'Remove this step', 'Remove this step']"
55,15,55_coverage_test_miyanni_leg,"['coverage', 'test', 'miyanni', 'leg', 'defer', '16', 'decision', 'don', 'need', 'runtests']","[""We don't need this test"", ""We don't need this test - already have a lot of coverage for this"", ""Also, I'm actually not sure if we want to runTests for this leg or not... I will defer that decision to @MiYanni, but I don't see why that'd change.. so maybe we don't want that.""]"
56,15,56_task_tasks_achieve_task_id,"['task', 'tasks', 'achieve', 'task_id', 'unreliable', 'hashmap', 'webhook', 'page_size', 'identification', 'iterator']","['Using [CODE] as a task identifier is unreliable because it changes as tasks are added. Consider using a separate counter or the actual task handle for identification. [CODE_BLOCK]', 'Using [CODE] as task_id in the error handling is incorrect because [CODE] returns the number of remaining tasks, not the ID of the failed task. This will likely map to the wrong tools in the error case. [CODE_BLOCK]', ""Using [CODE] as task_id in error handling is incorrect. When a task fails, [CODE] represents the number of remaining tasks, not the failed task's ID. This will cause incorrect error attribution. [CODE_BLOCK]""]"
