Topic,Count,Name,Representation,Representative_Docs
9,10,9_lock_number_don touch_don change,"['lock', 'number', 'don touch', 'don change', 'test don', 'touch', 'passing', 'passed', 'need run', 'supported']","[""Don't touch yarn.lock."", 'When hitSlop is the same in all directions it can be passed with just a number giving the same behavior as passing an object with all the directions as same number. please fix this.', 'When hitSlop is the same in all directions it can be passed with just a number giving the same behavior as passing an object with all the directions as same number. please fix this.']"
10,10,10_backend_code context_consistently_cloned,"['backend', 'code context', 'consistently', 'cloned', 'particular setup', 'redis', 'way need', 'env var', 'version doesn', 'previous version']","[""ah yeh, i guess it wasnt smart enough to set up an env var [CODE]...but that's also a context engineering issue"", 'This subset will never successfully build without very particular setup. Is it worth having here? This would effectively make the ""all subsets"" option only usable for restore.', ""So interestingly, this doesn't seem to work with the latest version of redis...but also, the previous version doesn't support saving things in the way we now need to now we aren't passing the URL in to the model, so we have to use this! Thanks for pointing it out.""]"
11,9,11_generic_port_generic documentation_original,"['generic', 'port', 'generic documentation', 'original', 'output port', 'retained', 'valuable', 'key source', 'documentation generic', 'source output']","[""The documentation is too generic. The original comment 'The key of the source output port.' was more descriptive and should be retained or improved rather than replaced with a generic getter/setter description. [CODE_BLOCK]"", ""[nitpick] Generic documentation 'Represents a TieLineCollection' is less informative than the original. The original documentation provided context about it being a collection of TieLine objects, which was more descriptive. [CODE_BLOCK]"", ""The generic documentation 'Gets or sets the SourcePort' provides no meaningful information beyond the property name. The original comment 'The key of the source output port' was more descriptive and should be retained or enhanced. [CODE_BLOCK]""]"
12,9,12_fees_manager_balance_contract,"['fees', 'manager', 'balance', 'contract', '1m', 'adjustment', 'misconfiguration', 'dropped', 'going add', 'code accordingly']","[""well, the flip side of that is if the designated fee manager keeper is down, then the fees won't get adjusted. You really want both replicas to be symmetric. Also, the fee adjustment runs on a 30 second polling interval, so you're fairly unlikely to get a confilct."", 'also I just realized that you need the fee manager wallet for [CODE] as well. only the fee manager can set the current fees :( this is actually going to add some complexity to the fee withdrawal logic, as we also need to make sure the fee_manager wallet has a sufficient balance.', ""btw this min_balance minimum withdrawal has actually caused outages in the past. If for whatever reason, the accrued fees aren't > min_balance (often this is a misconfiguration of the chain), the keeper wallet runs out of funds even though there's money to withdraw in accrued fees. let me suggest changing this to [CODE]. I.e., you can withdraw a tiny amount from the contract, as long as you're at least doubling the balance in your wallet. That should naturally limit the number of withdrawals in the case where the accrued fees are below the min_balance""]"
13,9,13_flag_bank_flags_behaviors,"['flag', 'bank', 'flags', 'behaviors', 'setting flag', 'price', 'symmetric', 'code gets', 'endpoints', 'example code']","['Actually this looks suspicious. Why are we setting this flag here?', '(aside) @tejasbadadare in the future you probably want to get rid of both of these flags. You want the keepers to be symmetric so there should be no reason to disable any of these behaviors.', 'Yep, this is annoying but (1) somebody put the emissions flags on the ""main"" bank struct so we can\'t move those, (2) the bank doesn\'t get passed to all the price/risk functions, for example [CODE] gets just the config. It seemed easier to add flags to the config than to refactor these to take a bank.']"
14,9,14_studio figma_tokens studio_tokens_plugin start,"['studio figma', 'tokens studio', 'tokens', 'plugin start', 'figma plugin', 'figma', 'studio', 'plugin', 'start', 'assignable']","['Reverted the wrong changes to append-nodes.ts.test.cjs snapshot file back to the original state before my changes. Commit b23c0a2.', ""My problems are as follows: - I'm using Angular 19 (so it's incompatible with your modification) - I can't override npm i (due to my company's restrictions) - With the previous version ng-extract-i18n-merge@^2.14.3, I have this checkmarx vulnerability: ![image](https://github.com/user-attachments/assets/506a704d-23d4-425d-85f0-493ea061a47f) But if its not possible to keep angular 19, I'll stick with your version 2.14.3 and ignore the vulnerability."", ""there is an error here, please fix it: ERROR in ./src/app/components/StartScreen.tsx:133:41 @tokens-studio/figma-plugin:start: TS2345: Argument of type 'URLStorageType | JSONBinStorageType | GitHubStorageType | GitLabStorageType | GenericVersionedStorageType | BitbucketStorageType | ADOStorageType | SupernovaStorageType | TokensStudioStorageType' is not assignable to parameter of type 'StorageTypeCredentials'. @tokens-studio/figma-plugin:start: Type 'URLStorageType' is not assignable to type 'StorageTypeCredentials'. @tokens-studio/figma-plugin:start: Type 'URLStorageType' is not assignable to type 'StorageTypeCredential<URLStorageType, true>'. @tokens-studio/figma-plugin:start: Property 'secret' is missing in type 'URLStorageType' but required in type '{ secret: string; }'. @tokens-studio/figma-plugin:start: 131 | onClick: () => { @tokens-studio/figma-plugin:start: 132 | const matchingProvider = apiProviders.find((i) => i.internalId === storageType?.internalId); @tokens-studio/figma-plugin:start: > 133 | restoreStoredProvider(matchingProvider || storageType); @tokens-studio/figma-plugin:start: | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ @tokens-studio/figma-plugin:start: 134 | }, @tokens-studio/figma-plugin:start: 135 | text: t('retry'), @tokens-studio/figma-plugin:start: 136 | }} @tokens-studio/figma-plugin:start: @tokens-studio/figma-plugin:start: Found 1 error in 2449 ms. @tokens-studio/figma-plugin:start: ERROR in ./src/app/components/StartScreen.tsx:133:41 @tokens-studio/figma-plugin:start: TS2345: Argument of type 'URLStorageType | JSONBinStorageType | GitHubStorageType | GitLabStorageType | GenericVersionedStorageType | BitbucketStorageType | ADOStorageType | SupernovaStorageType | TokensStudioStorageType' is not assignable to parameter of type 'StorageTypeCredentials'. @tokens-studio/figma-plugin:start: Type 'URLStorageType' is not assignable to type 'StorageTypeCredentials'. @tokens-studio/figma-plugin:start: Type 'URLStorageType' is not assignable to type 'StorageTypeCredential<URLStorageType, true>'. @tokens-studio/figma-plugin:start: Property 'secret' is missing in type 'URLStorageType' but required in type '{ secret: string; }'. @tokens-studio/figma-plugin:start: 131 | onClick: () => { @tokens-studio/figma-plugin:start: 132 | const matchingProvider = apiProviders.find((i) => i.internalId === storageType?.internalId); @tokens-studio/figma-plugin:start: > 133 | restoreStoredProvider(matchingProvider || storageType); @tokens-studio/figma-plugin:start: | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ @tokens-studio/figma-plugin:start: 134 | }, @tokens-studio/figma-plugin:start: 135 | text: t('retry'), @tokens-studio/figma-plugin:start: 136 | }} @tokens-studio/figma-plugin:start: @tokens-studio/figma-plugin:start: Found 1 error in 4227 ms.""]"
15,9,15_exports_exported_download_export,"['exports', 'exported', 'download', 'export', 'members', 'looks redundant', 'need able', 'guides', 'api longer', 'correctly https']","['I\'m having a difficult time groking the ""production_from_snapshot"" item. I guess the idea here is that we now: - support restore from snapshots (is this - if you restore your production branch, you\'ll get a ""productions_from_snapshot"" branch I\'d suggest leaving this one out for now.', ""I don't think we want download in this list -- project owners and staff members (not just admins) need to be able to download bulk exports."", 'https://nextjs.org/docs/app/guides/static-exports#unsupported-features headers are not supported in export mode.']"
16,9,16_model factory_factory_destroy_factory method,"['model factory', 'factory', 'destroy', 'factory method', 'instead add', 'exclude', 'azd', 'model', 'method don', 'operation']","[""Don't exclude violations of AZC0035. Instead, add the model factory method"", ""Don't exclude violations of AZC0035. Instead, add the model factory method"", ""@Copilot The changes did not address the concerns raised by @vbhb1989 . The goroutine is launched separately, program will continue and exit, resulting in the spawwned goroutine here ending prematurely. This results in bugs of either: the destroy operation never runs, the destroy operation runs partially, the destroy operation does not invalidate the environment keys. With how azd is designed currently, I'm not sure if there is a straightforward implementation here that isn't already solved by existing Bash and Powershell backgrounding techniques. The cli currently needs to waits for the destroy operation to succeed to invalidate the env keys.""]"
17,8,17_docker_package json_deployment_abstract,"['docker', 'package json', 'deployment', 'abstract', 'directly need', 'build process', 'volume', 'sure makes', 'mitchdenny', 'note cause']","['This part is incorrect. kubectl run does not support --volumes directly. You need to define a volume using a pod or deployment spec instead.', '@mitchdenny this is docker specific. Podman doesn’t have a daemon. I’m not sure it makes sense to abstract this method. PS I’m working on a functional test', 'The browserslist section has been removed from docker-extension/ui/package.json as requested. ab60ea1 Note: This may cause build issues since react-scripts requires browser targets to be specified. The build process will prompt to add defaults if needed.']"
18,8,18_pattern_dont_file dont_patterns,"['pattern', 'dont', 'file dont', 'patterns', 'change', 'file', '', '', '', '']","['dont change this pattern', 'dont change this pattern', 'dont change this pattern']"
19,8,19_enabled_throw error_automatically_enable,"['enabled', 'throw error', 'automatically', 'enable', 'throw', 'attempting use', 'want enable', 'enabling', 'publish', 'code throw']","[""We don't want it to automatically enable streams if not already enabled. Please edit the codebase to instead throw an error if you try to enable replication and streams aren't already enabled. You should be able to check the streamOptions property to determine that."", ""I've updated the code to throw an error if streams aren't enabled when attempting to use replication instead of automatically enabling them. This change is in commit 8ac5e1e."", ""I've modified the code to throw an error if streams aren't already enabled when attempting to use replication instead of automatically enabling them. The error message clearly indicates that streams must be enabled for Global Tables replication. This change is in commit 8ac5e1e.""]"
20,8,20_i18n_groups_route_language,"['i18n', 'groups', 'route', 'language', 'issue check', 'languages', 'organize', 'messed', 'gupta', 'translated']","['Check on this also. The language makes it sounds like everybody will need a full refresh', '@gupta-piyush19 The LLM messed up the translations here. In German, the second sentence should read [CODE] The other languages seem to have deteriorated as well (at least the French translation shows exactly the same issue).', 'the text is still wrong ### Advanced i18n with Route Groups Organize i18n routes using route groups for better structure: there are no route groups being used']"
21,7,21_aspire_supported_constraint_non existent,"['aspire', 'supported', 'constraint', 'non existent', 'existent', 'clarify', 'table', 'restart', 'apphost', 'change pretty']","[""@copilot you should revert this change - I'm pretty sure it's a product-level constraint for Aspire that they need 9.0.3xx. I was just noting the impact this constraint has on the user base."", 'Fixed the reference to clarify that resource limits aren\'t supported in .NET Aspire. Updated the table to show ""Not supported"" instead of the non-existent [CODE] method. 7c7651f', 'Fixed the reference to clarify that restart policies aren\'t supported in .NET Aspire. Updated the table to show ""Not supported"" instead of the non-existent [CODE] method. 81a03e3']"
22,7,22_add link_alternative approach_allow option_globally,"['add link', 'alternative approach', 'allow option', 'globally', 'externally', 'need don', 'tell ai', 'rate limited', 'pr https', 'just turn']","[""I wouldn't consider this really a next step, it's more like an alternative approach. I'd consider removing this link here."", ""DevinAI don't need this now that this PR is https://github.com/calcom/cal.com/pull/21940 merged. getRoutedUrl is already rate limited"", ""This section is mostly to tell the AI, which can't follow links (well the OpenAI one can't, the Google one can, but it's worse at its job). I can add the link in addition though.""]"
23,6,23_date_code_block stop_stop using_hey copilot,"['date', 'code_block stop', 'stop using', 'hey copilot', 'error lines', 'like use', 'hey', 'confused', 'code set', 'supports']","['stop using Date.now() in the key ... we need these to be deterministic', 'Use [CODE] and set an error along the the lines of ""Failed to parse \'{v}\' as a timestamp"".', 'Hey @copilot, you seem to get confused with what the date is... seems like you use January 8th a lot. Just use the current date instead. [CODE_BLOCK]']"
24,6,24_dictionary_thread_modifies_safety,"['dictionary', 'thread', 'modifies', 'safety', 'safer', 'throws', 'pretty', 'possibly', 'thrown', 'contract']","['Same here - This code change modifies the behavior in a possibly breaking manner. Dictionary.Add throws an ArgumentException when the key already exists. ConcurrentDictionary.TryAdd will silently ignore that fact. I think it would be safer to maintaint that API contract - so, if TryAdd retruns false it should thrown an ArgumentException simulating what Dictionary.Add is doing.', ""I initially tried using SyncRoot but found that for generic collections like List&lt;T&gt;, SyncRoot doesn't provide thread safety - it just returns the list itself. The documentation recommends using dedicated synchronization objects for thread-safe operations. I've reverted to using a lock object to ensure proper thread safety. Would you prefer a different approach?"", 'One way why I did not like the initial implementation using locks is that read-access would also need to be covered under a lock - not sure whether single thread writing -+ multiple readers would also break that bad in Dictionary<TKey, TValue> - but since the documentation leaves that pretty open and we ran into pretty bad issues with normal Dictionary in the past, using ConcurrentDictionary is pretty much always the right call in our SDK. The theoretic overhead is so minimal that the benefit of getting this safe outweights it']"
25,6,25_github actions_actions_dex_product,"['github actions', 'actions', 'dex', 'product', 'container', 'github', 'yaml', 'needs copied', 'mechanism code_block', 'file needs']","['The github actions workflow for test-linux now fails due to timeout. Please double check why and if this test case might be the problem', ""That product page url does not seem to exist and is redirecting to a GitHub Actions product page. Let's point to the docs instead: [CODE_BLOCK]"", ""This volume mount will not work in GitHub Actions because the relative path './frontend/cypress/dex.yaml' refers to the GitHub Actions runner's file system, not the container. The dex.yaml file needs to be copied into the container or made available through a different mechanism. [CODE_BLOCK]""]"
26,5,26_nodes_react_consistent cross_js code,"['nodes', 'react', 'consistent cross', 'js code', 'partially', 'js', 'enter', 'code_block isn', 'tooltip', 'cross']","[""This still isn't working, you forgot to include the react types. look at other tests for an example"", '[nitpick] The onKeyPress event is deprecated in React; prefer using onKeyDown for consistent cross-browser behavior when detecting Enter key presses. [CODE_BLOCK]', 'Alright, what you have is partially working, but still seems to error on some reparsed nodes. For example,, this test case shows that we are spuriously erroring on this JS code, even though the nodes with types are reparsed. There must be some places in the current code that are missing reparsed checks.']"
27,5,27_middleware_route_code_block code_block_health,"['middleware', 'route', 'code_block code_block', 'health', 'globally', 'slow', 'maybe better', 'returned code', 'code urls', 'better use']","['This should be inside [CODE] so that urls that did not have a result is not handled by this middleware.', ""this example is very much not correct, it returns the middleware, instead of an ASGI app, and even if it returned [CODE], that guy hasn't been transformed, maybe it would be better to use litestar or something similar as an example?"", ""would like to separate route and middleware logic that didn't work well with the health middleware back then and caused countless bug reports where the route is defined, the timeout middleware can be defined with a specific time or globally you can specify a route in app.use and also operate handler chaining [CODE_BLOCK] or [CODE_BLOCK] or [CODE_BLOCK]""]"
28,5,28_bookworm_bookworm tree_com foxminchan_foxminchan bookworm,"['bookworm', 'bookworm tree', 'com foxminchan', 'foxminchan bookworm', 'foxminchan', 'tree main', 'tree', 'src services', 'refer https', 'services copilot']","['@copilot wrong service, please refer https://github.com/foxminchan/BookWorm/tree/main/src', '@copilot this is not correct, please refer in https://github.com/foxminchan/BookWorm/tree/main/src/Services', '@copilot this is incorrect, please refer: https://github.com/foxminchan/BookWorm/tree/main/src/Services']"
